region,product,units,unit_price,revenue
South,Gizmo,23,12,276
North,Widget,84,20,1680
East,Gizmo,17,12,204
West,Gizmo,9,12,108
South,Gizmo,16,12,192
West,Gadget,8,35,280
West,Widget,45,20,900
East,Gizmo,12,12,144
East,Gizmo,19,12,228
East,Widget,10,20,200
North,Gizmo,30,12,360
East,Gizmo,13,12,156
North,Gizmo,9,12,108
East,Gadget,14,35,490
West,Gizmo,29,12,348
North,Widget,46,20,920
North,Widget,81,20,1620
South,Widget,50,20,1000
West,Gadget,5,35,175
West,Widget,9,20,180
West,Gadget,42,35,1470
North,Gadget,62,35,2170
North,Gizmo,17,12,204
East,Widget,14,20,280
West,Gizmo,28,12,336
East,Widget,19,20,380
East,Widget,18,20,360
East,Gadget,2,35,70
West,Gizmo,41,12,492
South,Widget,15,20,300
North,Gadget,32,35,1120
West,Gizmo,23,12,276
South,Gadget,16,35,560
West,Widget,45,20,900
North,Gadget,92,35,3220
South,Gadget,53,35,1855
South,Gizmo,16,12,192
North,Gadget,22,35,770
North,Gizmo,73,12,876
East,Gizmo,10,12,120
North,Widget,84,20,1680
North,Gadget,89,35,3115
West,Gizmo,7,12,84
South,Widget,20,20,400
West,Widget,8,20,160
East,Widget,19,20,380
South,Gizmo,46,12,552
West,Widget,49,20,980
West,Widget,8,20,160
South,Gizmo,27,12,324
South,Gadget,33,35,1155
North,Widget,80,20,1600
South,Gadget,31,35,1085
West,Gadget,50,35,1750
West,Gizmo,31,12,372
South,Gadget,46,35,1610
South,Gadget,37,35,1295
East,Gizmo,7,12,84
West,Widget,54,20,1080
West,Gadget,18,35,630
South,Widget,51,20,1020
North,Gadget,65,35,2275
West,Widget,28,20,560
South,Gadget,63,35,2205
East,Gizmo,24,12,288
North,Widget,11,20,220
South,Gizmo,50,12,600
East,Widget,14,20,280
East,Widget,26,20,520
South,Gadget,29,35,1015
East,Gadget,28,35,980
East,Gadget,27,35,945
West,Gadget,28,35,980
North,Gadget,89,35,3115
South,Gizmo,44,12,528
West,Gizmo,36,12,432
West,Widget,15,20,300
East,Widget,30,20,600
East,Gizmo,18,12,216
North,Widget,83,20,1660
North,Widget,28,20,560
East,Widget,11,20,220
South,Widget,61,20,1220
North,Gadget,16,35,560
East,Gizmo,17,12,204
East,Gadget,7,35,245
North,Gadget,67,35,2345
South,Gizmo,56,12,672
East,Gizmo,25,12,300
West,Gadget,27,35,945
East,Gadget,18,35,630
East,Widget,24,20,480
North,Gadget,68,35,2380
North,Gizmo,70,12,840
South,Widget,31,20,620
South,Widget,23,20,460
East,Gadget,10,35,350
West,Gizmo,7,12,84
East,Gizmo,30,12,360
South,Gadget,49,35,1715
West,Widget,18,20,360
South,Gizmo,35,12,420
North,Gizmo,83,12,996
East,Gizmo,27,12,324
West,Widget,18,20,360
North,Widget,64,20,1280
South,Gadget,30,35,1050
West,Widget,37,20,740
South,Widget,16,20,320
North,Widget,46,20,920
East,Gizmo,6,12,72
West,Widget,19,20,380
South,Widget,66,20,1320
North,Widget,9,20,180
West,Widget,27,20,540
West,Gizmo,18,12,216
North,Widget,59,20,1180
South,Gizmo,37,12,444
North,Gizmo,51,12,612
North,Gadget,41,35,1435
West,Gizmo,11,12,132
East,Widget,25,20,500
East,Gizmo,16,12,192
South,Gadget,33,35,1155
South,Widget,45,20,900
South,Gizmo,39,12,468
North,Gizmo,16,12,192
West,Widget,4,20,80
East,Gizmo,4,12,48
West,Gadget,15,35,525
North,Gizmo,62,12,744
South,Widget,52,20,1040
South,Widget,58,20,1160
South,Widget,47,20,940
North,Widget,96,20,1920
West,Gadget,30,35,1050
East,Gizmo,5,12,60
South,Widget,14,20,280
East,Gadget,19,35,665
South,Widget,22,20,440
East,Gizmo,8,12,96
North,Gizmo,19,12,228
East,Gizmo,12,12,144
West,Gizmo,41,12,492
North,Gadget,30,35,1050
East,Gizmo,2,12,24
South,Gizmo,44,12,528
West,Gadget,29,35,1015
West,Gizmo,29,12,348
East,Gadget,3,35,105
South,Gizmo,63,12,756
South,Gadget,9,35,315
North,Gadget,17,35,595
North,Widget,20,20,400
West,Gadget,16,35,560
North,Gizmo,27,12,324
North,Widget,43,20,860
West,Gizmo,36,12,432
East,Widget,6,20,120
North,Widget,78,20,1560
